DATAFLOW,REF_AREA:Geographic area,INDICATOR:Indicator,SEX:Sex,AGE:Current age,RESIDENCE:Residence,EDUCATION_LEVEL:Education Level,TIME_PERIOD:Time period,OBS_VALUE:Observation Value,SERIES_FOOTNOTE:Series footnote,UNIT_MULTIPLIER:Unit multiplier,UNIT_MEASURE:Unit of measure,SOWC_FLAG_A:SOWC flag A,OBS_FOOTNOTE:Observation footnote,OBS_STATUS:Observation Status,DATA_SOURCE:Data Source,OBS_CONF:Observation confidentaility,TIME_PERIOD_METHOD:Time period activity related to when the data are collected,FREQ_COLL:Time interval at which the source data are collected
UNICEF:GENDER(1.0): Gender,AGO: Angola,GN_LF_PTCPN: Labour force participation rate,F: Female,Y_GE15: 15 years old and over,U: Urban,_T: Total,2019,65.9,,,PCNT: %,,,A: Normal value,International Labour Organization (ILO),,,
UNICEF:GENDER(1.0): Gender,AGO: Angola,GN_LF_PTCPN: Labour force participation rate,M: Male,Y_GE15: 15 years old and over,U: Urban,_T: Total,2019,72.9,,,PCNT: %,,,A: Normal value,International Labour Organization (ILO),,,
UNICEF:GENDER(1.0): Gender,AGO: Angola,GN_LF_PTCPN: Labour force participation rate,_T: Total,Y_GE15: 15 years old and over,_T: Total,_T: Total,2019,77.4,,,PCNT: %,,,A: Normal value,International Labour Organization (ILO),,,
UNICEF:GENDER(1.0): Gender,AGO: Angola,GN_LF_PTCPN: Labour force participation rate,F: Female,Y_GE15: 15 years old and over,_T: Total,_T: Total,2019,76.1,,,PCNT: %,,,A: Normal value,International Labour Organization (ILO),,,
UNICEF:GENDER(1.0): Gender,AGO: Angola,GN_LF_PTCPN: Labour force participation rate,M: Male,Y_GE15: 15 years old and over,R: Rural,_T: Total,2019,86.5,,,PCNT: %,,,A: Normal value,International Labour Organization (ILO),,,
UNICEF:GENDER(1.0): Gender,AGO: Angola,GN_UNMPLY: Labour force unemployment rate,F: Female,Y_GE15: 15 years old and over,R: Rural,_T: Total,2019,0.6,,,PCNT: %,,,A: Normal value,International Labour Organization (ILO),,,
UNICEF:GENDER(1.0): Gender,AGO: Angola,GN_UNMPLY: Labour force unemployment rate,M: Male,Y_GE15: 15 years old and over,_T: Total,_T: Total,2019,6.6,,,PCNT: %,,,A: Normal value,International Labour Organization (ILO),,,
UNICEF:GENDER(1.0): Gender,AGO: Angola,GN_UNMPLY: Labour force unemployment rate,F: Female,Y_GE15: 15 years old and over,U: Urban,_T: Total,2019,14.1,,,PCNT: %,,,A: Normal value,International Labour Organization (ILO),,,
UNICEF:GENDER(1.0): Gender,AGO: Angola,GN_UNMPLY: Labour force unemployment rate,M: Male,Y_GE15: 15 years old and over,U: Urban,_T: Total,2019,11.4,,,PCNT: %,,,A: Normal value,International Labour Organization (ILO),,,
UNICEF:GENDER(1.0): Gender,AGO: Angola,GN_UNMPLY: Labour force unemployment rate,_T: Total,Y_GE15: 15 years old and over,_T: Total,_T: Total,2019,6.9,,,PCNT: %,,,A: Normal value,International Labour Organization (ILO),,,
UNICEF:GENDER(1.0): Gender,AGO: Angola,GN_UNMPLY: Labour force unemployment rate,F: Female,Y_GE15: 15 years old and over,_T: Total,_T: Total,2019,7.2,,,PCNT: %,,,A: Normal value,International Labour Organization (ILO),,,
UNICEF:GENDER(1.0): Gender,AGO: Angola,GN_UNMPLY: Labour force unemployment rate,M: Male,Y_GE15: 15 years old and over,R: Rural,_T: Total,2019,1.5,,,PCNT: %,,,A: Normal value,International Labour Organization (ILO),,,
UNICEF:GENDER(1.0): Gender,ALB: Albania,GN_MTNTY_LV_BNFTS: Maternity leave benefits,F: Female,_T: Total,_T: Total,_T: Total,2021,Yes,,,BINARY: Binary,,,A: Normal value,World Bank Women Business and the Law,,,
UNICEF:GENDER(1.0): Gender,ALB: Albania,GN_PTNTY_LV_BNFTS: Paternity leave benefits,M: Male,_T: Total,_T: Total,_T: Total,2021,Yes,,,BINARY: Binary,,,A: Normal value,World Bank Women Business and the Law,,,
UNICEF:GENDER(1.0): Gender,ALB: Albania,GN_IDX: Social Institutions and Gender Index (SIGI),_T: Total,_T: Total,_T: Total,_T: Total,2019,22.6,,,PCNT: %,,,A: Normal value,Organisation for Economic Co-operation and Development (OECD),,,
UNICEF:GENDER(1.0): Gender,ALB: Albania,GN_LF_PTCPN: Labour force participation rate,M: Male,Y_GE15: 15 years old and over,U: Urban,_T: Total,2019,70.1,,,PCNT: %,,,A: Normal value,International Labour Organization (ILO),,,
UNICEF:GENDER(1.0): Gender,ALB: Albania,GN_LF_PTCPN: Labour force participation rate,F: Female,Y_GE15: 15 years old and over,R: Rural,_T: Total,2019,49.6,,,PCNT: %,,,A: Normal value,International Labour Organization (ILO),,,
UNICEF:GENDER(1.0): Gender,ALB: Albania,GN_LF_PTCPN: Labour force participation rate,M: Male,Y_GE15: 15 years old and over,_T: Total,_T: Total,2019,68,,,PCNT: %,,,A: Normal value,International Labour Organization (ILO),,,
UNICEF:GENDER(1.0): Gender,ALB: Albania,GN_LF_PTCPN: Labour force participation rate,F: Female,Y_GE15: 15 years old and over,_T: Total,_T: Total,2019,52.5,,,PCNT: %,,,A: Normal value,International Labour Organization (ILO),,,
UNICEF:GENDER(1.0): Gender,ALB: Albania,GN_LF_PTCPN: Labour force participation rate,_T: Total,Y_GE15: 15 years old and over,_T: Total,_T: Total,2019,60.3,,,PCNT: %,,,A: Normal value,International Labour Organization (ILO),,,
UNICEF:GENDER(1.0): Gender,ALB: Albania,GN_LF_PTCPN: Labour force participation rate,M: Male,Y_GE15: 15 years old and over,R: Rural,_T: Total,2019,64.4,,,PCNT: %,,,A: Normal value,International Labour Organization (ILO),,,
UNICEF:GENDER(1.0): Gender,ALB: Albania,GN_LF_PTCPN: Labour force participation rate,F: Female,Y_GE15: 15 years old and over,U: Urban,_T: Total,2019,54.1,,,PCNT: %,,,A: Normal value,International Labour Organization (ILO),,,
UNICEF:GENDER(1.0): Gender,ALB: Albania,GN_UNMPLY: Labour force unemployment rate,M: Male,Y_GE15: 15 years old and over,U: Urban,_T: Total,2019,12.7,,,PCNT: %,,,A: Normal value,International Labour Organization (ILO),,,
UNICEF:GENDER(1.0): Gender,ALB: Albania,GN_UNMPLY: Labour force unemployment rate,F: Female,Y_GE15: 15 years old and over,R: Rural,_T: Total,2019,9.2,,,PCNT: %,,,A: Normal value,International Labour Organization (ILO),,,
UNICEF:GENDER(1.0): Gender,ALB: Albania,GN_UNMPLY: Labour force unemployment rate,M: Male,Y_GE15: 15 years old and over,_T: Total,_T: Total,2019,11.6,,,PCNT: %,,,A: Normal value,International Labour Organization (ILO),,,
UNICEF:GENDER(1.0): Gender,ALB: Albania,GN_UNMPLY: Labour force unemployment rate,F: Female,Y_GE15: 15 years old and over,_T: Total,_T: Total,2019,11.3,,,PCNT: %,,,A: Normal value,International Labour Organization (ILO),,,
UNICEF:GENDER(1.0): Gender,ALB: Albania,GN_UNMPLY: Labour force unemployment rate,_T: Total,Y_GE15: 15 years old and over,_T: Total,_T: Total,2019,11.5,,,PCNT: %,,,A: Normal value,International Labour Organization (ILO),,,
UNICEF:GENDER(1.0): Gender,ALB: Albania,GN_UNMPLY: Labour force unemployment rate,M: Male,Y_GE15: 15 years old and over,R: Rural,_T: Total,2019,9.5,,,PCNT: %,,,A: Normal value,International Labour Organization (ILO),,,
UNICEF:GENDER(1.0): Gender,ALB: Albania,GN_UNMPLY: Labour force unemployment rate,F: Female,Y_GE15: 15 years old and over,U: Urban,_T: Total,2019,12.4,,,PCNT: %,,,A: Normal value,International Labour Organization (ILO),,,
UNICEF:GENDER(1.0): Gender,ARE: United Arab Emirates,GN_MTNTY_LV_BNFTS: Maternity leave benefits,F: Female,_T: Total,_T: Total,_T: Total,2021,No,,,BINARY: Binary,,,A: Normal value,World Bank Women Business and the Law,,,
UNICEF:GENDER(1.0): Gender,ARE: United Arab Emirates,GN_PTNTY_LV_BNFTS: Paternity leave benefits,M: Male,_T: Total,_T: Total,_T: Total,2021,Yes,,,BINARY: Binary,,,A: Normal value,World Bank Women Business and the Law,,,
UNICEF:GENDER(1.0): Gender,ARE: United Arab Emirates,GN_LF_PTCPN: Labour force participation rate,_T: Total,Y_GE15: 15 years old and over,_T: Total,_T: Total,2019,82,,,PCNT: %,,,A: Normal value,International Labour Organization (ILO),,,
UNICEF:GENDER(1.0): Gender,ARE: United Arab Emirates,GN_LF_PTCPN: Labour force participation rate,F: Female,Y_GE15: 15 years old and over,R: Rural,_T: Total,2019,50.5,,,PCNT: %,,,A: Normal value,International Labour Organization (ILO),,,
UNICEF:GENDER(1.0): Gender,ARE: United Arab Emirates,GN_LF_PTCPN: Labour force participation rate,M: Male,Y_GE15: 15 years old and over,U: Urban,_T: Total,2019,94.7,,,PCNT: %,,,A: Normal value,International Labour Organization (ILO),,,
UNICEF:GENDER(1.0): Gender,ARE: United Arab Emirates,GN_LF_PTCPN: Labour force participation rate,M: Male,Y_GE15: 15 years old and over,_T: Total,_T: Total,2019,93.4,,,PCNT: %,,,A: Normal value,International Labour Organization (ILO),,,
UNICEF:GENDER(1.0): Gender,ARE: United Arab Emirates,GN_LF_PTCPN: Labour force participation rate,M: Male,Y_GE15: 15 years old and over,R: Rural,_T: Total,2019,90.1,,,PCNT: %,,,A: Normal value,International Labour Organization (ILO),,,
UNICEF:GENDER(1.0): Gender,ARE: United Arab Emirates,GN_LF_PTCPN: Labour force participation rate,F: Female,Y_GE15: 15 years old and over,_T: Total,_T: Total,2019,52,,,PCNT: %,,,A: Normal value,International Labour Organization (ILO),,,
UNICEF:GENDER(1.0): Gender,ARE: United Arab Emirates,GN_LF_PTCPN: Labour force participation rate,F: Female,Y_GE15: 15 years old and over,U: Urban,_T: Total,2019,52.7,,,PCNT: %,,,A: Normal value,International Labour Organization (ILO),,,
UNICEF:GENDER(1.0): Gender,ARE: United Arab Emirates,GN_UNMPLY: Labour force unemployment rate,_T: Total,Y_GE15: 15 years old and over,_T: Total,_T: Total,2019,2.3,,,PCNT: %,,,A: Normal value,International Labour Organization (ILO),,,
UNICEF:GENDER(1.0): Gender,ARE: United Arab Emirates,GN_UNMPLY: Labour force unemployment rate,F: Female,Y_GE15: 15 years old and over,R: Rural,_T: Total,2019,5.2,,,PCNT: %,,,A: Normal value,International Labour Organization (ILO),,,
UNICEF:GENDER(1.0): Gender,ARE: United Arab Emirates,GN_UNMPLY: Labour force unemployment rate,M: Male,Y_GE15: 15 years old and over,U: Urban,_T: Total,2019,1.6,,,PCNT: %,,,A: Normal value,International Labour Organization (ILO),,,
UNICEF:GENDER(1.0): Gender,ARE: United Arab Emirates,GN_UNMPLY: Labour force unemployment rate,M: Male,Y_GE15: 15 years old and over,_T: Total,_T: Total,2019,1.4,,,PCNT: %,,,A: Normal value,International Labour Organization (ILO),,,
UNICEF:GENDER(1.0): Gender,ARE: United Arab Emirates,GN_UNMPLY: Labour force unemployment rate,M: Male,Y_GE15: 15 years old and over,R: Rural,_T: Total,2019,0.9,,,PCNT: %,,,A: Normal value,International Labour Organization (ILO),,,
UNICEF:GENDER(1.0): Gender,ARE: United Arab Emirates,GN_UNMPLY: Labour force unemployment rate,F: Female,Y_GE15: 15 years old and over,_T: Total,_T: Total,2019,6.3,,,PCNT: %,,,A: Normal value,International Labour Organization (ILO),,,
UNICEF:GENDER(1.0): Gender,ARE: United Arab Emirates,GN_UNMPLY: Labour force unemployment rate,F: Female,Y_GE15: 15 years old and over,U: Urban,_T: Total,2019,6.8,,,PCNT: %,,,A: Normal value,International Labour Organization (ILO),,,
UNICEF:GENDER(1.0): Gender,ARG: Argentina,GN_PTNTY_LV_BNFTS: Paternity leave benefits,M: Male,_T: Total,_T: Total,_T: Total,2021,Yes,,,BINARY: Binary,,,A: Normal value,World Bank Women Business and the Law,,,
UNICEF:GENDER(1.0): Gender,ARG: Argentina,GN_MTNTY_LV_BNFTS: Maternity leave benefits,F: Female,_T: Total,_T: Total,_T: Total,2021,No,,,BINARY: Binary,,,A: Normal value,World Bank Women Business and the Law,,,
UNICEF:GENDER(1.0): Gender,ARG: Argentina,GN_LF_PTCPN: Labour force participation rate,M: Male,Y_GE15: 15 years old and over,_T: Total,_T: Total,2019,72.7,,,PCNT: %,,,A: Normal value,International Labour Organization (ILO),,,
UNICEF:GENDER(1.0): Gender,ARG: Argentina,GN_LF_PTCPN: Labour force participation rate,_T: Total,Y_GE15: 15 years old and over,_T: Total,_T: Total,2019,61.6,,,PCNT: %,,,A: Normal value,International Labour Organization (ILO),,,
UNICEF:GENDER(1.0): Gender,ARG: Argentina,GN_LF_PTCPN: Labour force participation rate,F: Female,Y_GE15: 15 years old and over,_T: Total,_T: Total,2019,51.3,,,PCNT: %,,,A: Normal value,International Labour Organization (ILO),,,
UNICEF:GENDER(1.0): Gender,ARG: Argentina,GN_LF_PTCPN: Labour force participation rate,F: Female,Y_GE15: 15 years old and over,R: Rural,_T: Total,2019,48.6,,,PCNT: %,,,A: Normal value,International Labour Organization (ILO),,,
UNICEF:GENDER(1.0): Gender,ARG: Argentina,GN_LF_PTCPN: Labour force participation rate,M: Male,Y_GE15: 15 years old and over,U: Urban,_T: Total,2019,75,,,PCNT: %,,,A: Normal value,International Labour Organization (ILO),,,
UNICEF:GENDER(1.0): Gender,ARG: Argentina,GN_LF_PTCPN: Labour force participation rate,M: Male,Y_GE15: 15 years old and over,R: Rural,_T: Total,2019,68.8,,,PCNT: %,,,A: Normal value,International Labour Organization (ILO),,,
UNICEF:GENDER(1.0): Gender,ARG: Argentina,GN_LF_PTCPN: Labour force participation rate,F: Female,Y_GE15: 15 years old and over,U: Urban,_T: Total,2019,52.9,,,PCNT: %,,,A: Normal value,International Labour Organization (ILO),,,
UNICEF:GENDER(1.0): Gender,ARG: Argentina,GN_UNMPLY: Labour force unemployment rate,M: Male,Y_GE15: 15 years old and over,_T: Total,_T: Total,2019,9.2,,,PCNT: %,,,A: Normal value,International Labour Organization (ILO),,,
UNICEF:GENDER(1.0): Gender,ARG: Argentina,GN_UNMPLY: Labour force unemployment rate,_T: Total,Y_GE15: 15 years old and over,_T: Total,_T: Total,2019,9.8,,,PCNT: %,,,A: Normal value,International Labour Organization (ILO),,,
UNICEF:GENDER(1.0): Gender,ARG: Argentina,GN_UNMPLY: Labour force unemployment rate,F: Female,Y_GE15: 15 years old and over,_T: Total,_T: Total,2019,10.7,,,PCNT: %,,,A: Normal value,International Labour Organization (ILO),,,
UNICEF:GENDER(1.0): Gender,ARG: Argentina,GN_UNMPLY: Labour force unemployment rate,F: Female,Y_GE15: 15 years old and over,R: Rural,_T: Total,2019,8.6,,,PCNT: %,,,A: Normal value,International Labour Organization (ILO),,,
UNICEF:GENDER(1.0): Gender,ARG: Argentina,GN_UNMPLY: Labour force unemployment rate,M: Male,Y_GE15: 15 years old and over,U: Urban,_T: Total,2019,10.3,,,PCNT: %,,,A: Normal value,International Labour Organization (ILO),,,
UNICEF:GENDER(1.0): Gender,ARG: Argentina,GN_UNMPLY: Labour force unemployment rate,M: Male,Y_GE15: 15 years old and over,R: Rural,_T: Total,2019,7.1,,,PCNT: %,,,A: Normal value,International Labour Organization (ILO),,,
UNICEF:GENDER(1.0): Gender,ARG: Argentina,GN_UNMPLY: Labour force unemployment rate,F: Female,Y_GE15: 15 years old and over,U: Urban,_T: Total,2019,11.8,,,PCNT: %,,,A: Normal value,International Labour Organization (ILO),,,
UNICEF:GENDER(1.0): Gender,ARM: Armenia,GN_PTNTY_LV_BNFTS: Paternity leave benefits,M: Male,_T: Total,_T: Total,_T: Total,2021,No,,,BINARY: Binary,,,A: Normal value,World Bank Women Business and the Law,,,
UNICEF:GENDER(1.0): Gender,ARM: Armenia,GN_MTNTY_LV_BNFTS: Maternity leave benefits,F: Female,_T: Total,_T: Total,_T: Total,2021,Yes,,,BINARY: Binary,,,A: Normal value,World Bank Women Business and the Law,,,
UNICEF:GENDER(1.0): Gender,ARM: Armenia,GN_IDX: Social Institutions and Gender Index (SIGI),_T: Total,_T: Total,_T: Total,_T: Total,2019,27.8,,,PCNT: %,,,A: Normal value,Organisation for Economic Co-operation and Development (OECD),,,
UNICEF:GENDER(1.0): Gender,ARM: Armenia,GN_LF_PTCPN: Labour force participation rate,M: Male,Y_GE15: 15 years old and over,_T: Total,_T: Total,2019,64.9,,,PCNT: %,,,A: Normal value,International Labour Organization (ILO),,,
UNICEF:GENDER(1.0): Gender,ARM: Armenia,GN_LF_PTCPN: Labour force participation rate,F: Female,Y_GE15: 15 years old and over,R: Rural,_T: Total,2019,49.1,,,PCNT: %,,,A: Normal value,International Labour Organization (ILO),,,
UNICEF:GENDER(1.0): Gender,ARM: Armenia,GN_LF_PTCPN: Labour force participation rate,M: Male,Y_GE15: 15 years old and over,U: Urban,_T: Total,2019,62.6,,,PCNT: %,,,A: Normal value,International Labour Organization (ILO),,,
UNICEF:GENDER(1.0): Gender,ARM: Armenia,GN_LF_PTCPN: Labour force participation rate,F: Female,Y_GE15: 15 years old and over,_T: Total,_T: Total,2019,42.9,,,PCNT: %,,,A: Normal value,International Labour Organization (ILO),,,
UNICEF:GENDER(1.0): Gender,ARM: Armenia,GN_LF_PTCPN: Labour force participation rate,_T: Total,Y_GE15: 15 years old and over,_T: Total,_T: Total,2019,52.9,,,PCNT: %,,,A: Normal value,International Labour Organization (ILO),,,
UNICEF:GENDER(1.0): Gender,ARM: Armenia,GN_LF_PTCPN: Labour force participation rate,F: Female,Y_GE15: 15 years old and over,U: Urban,_T: Total,2019,39.3,,,PCNT: %,,,A: Normal value,International Labour Organization (ILO),,,
UNICEF:GENDER(1.0): Gender,ARM: Armenia,GN_LF_PTCPN: Labour force participation rate,M: Male,Y_GE15: 15 years old and over,R: Rural,_T: Total,2019,68.4,,,PCNT: %,,,A: Normal value,International Labour Organization (ILO),,,
UNICEF:GENDER(1.0): Gender,ARM: Armenia,GN_UNMPLY: Labour force unemployment rate,M: Male,Y_GE15: 15 years old and over,_T: Total,_T: Total,2019,17.7,,,PCNT: %,,,A: Normal value,International Labour Organization (ILO),,,
UNICEF:GENDER(1.0): Gender,ARM: Armenia,GN_UNMPLY: Labour force unemployment rate,F: Female,Y_GE15: 15 years old and over,R: Rural,_T: Total,2019,11.2,,,PCNT: %,,,A: Normal value,International Labour Organization (ILO),,,
UNICEF:GENDER(1.0): Gender,ARM: Armenia,GN_UNMPLY: Labour force unemployment rate,M: Male,Y_GE15: 15 years old and over,U: Urban,_T: Total,2019,22.5,,,PCNT: %,,,A: Normal value,International Labour Organization (ILO),,,
UNICEF:GENDER(1.0): Gender,ARM: Armenia,GN_UNMPLY: Labour force unemployment rate,F: Female,Y_GE15: 15 years old and over,_T: Total,_T: Total,2019,20.3,,,PCNT: %,,,A: Normal value,International Labour Organization (ILO),,,
UNICEF:GENDER(1.0): Gender,ARM: Armenia,GN_UNMPLY: Labour force unemployment rate,_T: Total,Y_GE15: 15 years old and over,_T: Total,_T: Total,2019,18.8,,,PCNT: %,,,A: Normal value,International Labour Organization (ILO),,,
UNICEF:GENDER(1.0): Gender,ARM: Armenia,GN_UNMPLY: Labour force unemployment rate,F: Female,Y_GE15: 15 years old and over,U: Urban,_T: Total,2019,26.9,,,PCNT: %,,,A: Normal value,International Labour Organization (ILO),,,
UNICEF:GENDER(1.0): Gender,ARM: Armenia,GN_UNMPLY: Labour force unemployment rate,M: Male,Y_GE15: 15 years old and over,R: Rural,_T: Total,2019,11,,,PCNT: %,,,A: Normal value,International Labour Organization (ILO),,,
UNICEF:GENDER(1.0): Gender,ATG: Antigua and Barbuda,GN_MTNTY_LV_BNFTS: Maternity leave benefits,F: Female,_T: Total,_T: Total,_T: Total,2021,No,,,BINARY: Binary,,,A: Normal value,World Bank Women Business and the Law,,,
UNICEF:GENDER(1.0): Gender,ATG: Antigua and Barbuda,GN_PTNTY_LV_BNFTS: Paternity leave benefits,M: Male,_T: Total,_T: Total,_T: Total,2021,No,,,BINARY: Binary,,,A: Normal value,World Bank Women Business and the Law,,,
UNICEF:GENDER(1.0): Gender,AUS: Australia,GN_PTNTY_LV_BNFTS: Paternity leave benefits,M: Male,_T: Total,_T: Total,_T: Total,2021,Yes,,,BINARY: Binary,,,A: Normal value,World Bank Women Business and the Law,,,
UNICEF:GENDER(1.0): Gender,AUS: Australia,GN_MTNTY_LV_BNFTS: Maternity leave benefits,F: Female,_T: Total,_T: Total,_T: Total,2021,Yes,,,BINARY: Binary,,,A: Normal value,World Bank Women Business and the Law,,,
UNICEF:GENDER(1.0): Gender,AUS: Australia,GN_IDX: Social Institutions and Gender Index (SIGI),_T: Total,_T: Total,_T: Total,_T: Total,2019,16.1,,,PCNT: %,,,A: Normal value,Organisation for Economic Co-operation and Development (OECD),,,
UNICEF:GENDER(1.0): Gender,AUS: Australia,GN_LF_PTCPN: Labour force participation rate,F: Female,Y_GE15: 15 years old and over,R: Rural,_T: Total,2019,58.3,,,PCNT: %,,,A: Normal value,International Labour Organization (ILO),,,
UNICEF:GENDER(1.0): Gender,AUS: Australia,GN_LF_PTCPN: Labour force participation rate,M: Male,Y_GE15: 15 years old and over,R: Rural,_T: Total,2019,67.7,,,PCNT: %,,,A: Normal value,International Labour Organization (ILO),,,
UNICEF:GENDER(1.0): Gender,AUS: Australia,GN_LF_PTCPN: Labour force participation rate,F: Female,Y_GE15: 15 years old and over,_T: Total,_T: Total,2019,60.8,,,PCNT: %,,,A: Normal value,International Labour Organization (ILO),,,
UNICEF:GENDER(1.0): Gender,AUS: Australia,GN_LF_PTCPN: Labour force participation rate,M: Male,Y_GE15: 15 years old and over,U: Urban,_T: Total,2019,72.9,,,PCNT: %,,,A: Normal value,International Labour Organization (ILO),,,
UNICEF:GENDER(1.0): Gender,AUS: Australia,GN_LF_PTCPN: Labour force participation rate,F: Female,Y_GE15: 15 years old and over,U: Urban,_T: Total,2019,62.1,,,PCNT: %,,,A: Normal value,International Labour Organization (ILO),,,
